Gene_Name,Expression_Score
RNF14,92.0
UBE2Q1,70.2222222222
RNF17,2.66666666667
RNF10,100.0
RNF11,100.0
RNF13,100.0
LOC339240,1.33333333333
GOLGA6L1 /// GOLGA6L6 /// LOC100132025,0.0
REM2,6.0
PLA2G2F,2.66666666667
LOC100506860,26.2222222222
C16orf13,54.2222222222
ASAP1-IT,90.6666666667
C16orf11,11.3333333333
UBE2Q2,100.0
NBEAL1,79.6666666667
MZT2A,100.0
MZT2B,98.6666666667
CHMP1B,100.0
PMM2,100.0
CPA6 /// CPB1,13.3333333333
PMM1,97.3333333333
ASS1,100.0
FHIT,96.6666666667
ZNF709,35.6
ZNF708,94.6666666667
ZNF879,96.6666666667
NCBP2,98.6666666667
DISC1,4.0
CAMK1,36.6666666667
UCHL1,48.3333333333
SPR,100.0
ZNF700,100.0
ZNF707,4.66666666667
NID1,64.8888888889
ZNF704,63.4444444444
ZC3H10,96.0
RNF114,100.0
RNF115,100.0
ZC3H15,66.6666666667
ZC3H14,100.0
SPN,28.8
HMGCLL1,16.8888888889
NACAP1,98.6666666667
ZC3H18,52.0
GRIN1,0.0
LOC100506866,84.6666666667
DHX8,43.1111111111
DHX9,100.0
LOC441204,10.8333333333
TCOF1,49.7777777778
NUP98,99.5555555556
XPC,100.0
SP1,88.1666666667
SP2,36.4444444444
SP3,71.2
NUP93,100.0
SP5,24.6666666667
LOC441208,9.33333333333
SP7,0.0
SPPL3,79.0666666667
GOLIM4,66.6666666667
OPA3,51.5555555556
OPA1,87.6666666667
PRO1596,7.33333333333
LOC144766,3.33333333333
RAB40C,47.0
LOC100287676,2.66666666667
RAB40A,3.33333333333
CBX1,100.0
COL7A1,53.0
LOC100287728 /// ZNF75D,4.0
GTSE1,59.2222222222
ARHGEF4,24.4444444444
ARFRP1,91.6666666667
MESDC1,100.0
LOC100131015,100.0
SPPL2A,100.0
SPPL2B,26.3333333333
RABL5,74.0
ADH1C,50.6666666667
LOC100293160 /// PPIA,93.3333333333
MYO3A,6.88888888889
ITGA9,50.1666666667
UGCG,100.0
MYO3B,8.22222222222
ASNSD1,100.0
ATP2A1,2.0
ATP2A2,72.3333333333
ATP2A3,36.4
ASB8,99.6666666667
ITGA1,98.0
ITGA2,95.6666666667
ITGA3,75.3333333333
ITGA4,92.6666666667
ITGA5,100.0
ITGA6,96.3333333333
ITGA7,11.3333333333
TRHR,0.0
LOC100505906 /// LOC100509813,0.0
LOC285556,10.6666666667
LOC100132288,77.3333333333
DENND4A,92.3333333333
DENND4B,99.3333333333
DENND4C,88.8888888889
SWAP70,82.6666666667
RARRES1,91.1111111111
PHLDA1,82.5555555556
PHLDA3,84.6666666667
PHLDA2,37.7777777778
GAP43,13.1111111111
KANK1 /// LOC100505905,94.6666666667
PAMR1,16.0
ZNF37BP,84.3333333333
FBXL13,42.3333333333
FBXL12,50.0
TIPRL,100.0
FBXL14,61.5555555556
FBXL17,77.3333333333
HRH1,73.0
FAM169A,68.0
FBXL18,26.4444444444
FAM116A,100.0
FAM169B,1.33333333333
GHDC,100.0
LOC100287027,0.0
H19,93.6666666667
SDK2,20.0
GRP,36.0
LOC100287098,1.33333333333
TPRN,50.6666666667
THSD4,44.0
HSD17B10,100.0
ABHD14A,100.0
ZFP161,93.6666666667
COL4A6,12.6666666667
COL4A5,47.0
COL4A4,49.5555555556
COL4A3,47.8095238095
COL4A2,100.0
COL4A1,98.3333333333
GRN,100.0
CHST3,35.5555555556
CHST2,96.6666666667
CHST5,7.33333333333
CHST4,70.6666666667
CHST7,53.3333333333
CHST6,12.6666666667
ITGAX,23.6666666667
PDP1,100.0
BCL2A1,98.6666666667
HLCS,47.6666666667
NOG,16.0
KIF2A,62.2222222222
ITGAV,100.0
SIGMAR1,99.3333333333
ZNF703,19.0
SPATS1 /// TMEM151B,26.6666666667
ITGAL,88.3333333333
ITGAM,52.3333333333
LOC286359,3.66666666667
HLF,69.3333333333
NOV,60.6666666667
ABCB7,100.0
ITGAD,0.0
ITGAE,100.0
FAM134A,100.0
LOC100287896,100.0
SMAD9,50.0
TRERF1,50.8888888889
SMAD4,80.5333333333
SMAD5,99.7333333333
SMAD6,24.5
SMAD7,100.0
GOLPH3L,100.0
SMAD1,99.5555555556
SMAD2,77.5555555556
SMAD3,58.5
MUS81,50.0
AMMECR1L,100.0
NECAP1,100.0
TMPRSS11B,19.3333333333
IGF2R,100.0
TMPRSS11D,4.66666666667
TMPRSS11E,44.0
F11,5.66666666667
LOC284600,7.33333333333
RAD21L1,2.33333333333
GRASPOS,0.666666666667
