Genes,NS,adenoma adjacent to primary tumour,hyperplasia adjacent to primary tumour,metastasis,primary,recurrent,secondary,surgery fresh/frozen
1-Dec,1,0,0,0,1,0,0,0
1-Mar,0,0,0,0,4,0,0,0
1-Sep,1,0,0,0,2,0,0,0
10-Mar,6,0,0,0,4,0,0,0
10-Sep,8,0,0,4,0,0,0,0
11-Mar,0,0,0,0,1,0,0,0
11-Sep,6,0,0,1,0,0,0,0
12-Sep,1,0,0,2,0,0,0,0
14-Sep,2,0,0,2,0,0,0,0
2-Mar,0,0,0,0,7,0,0,0
2-Sep,2,0,0,2,1,0,1,0
3-Mar,0,0,0,0,2,0,0,0
3-Sep,1,0,0,0,3,0,0,0
4-Mar,0,0,0,1,1,0,0,0
4-Sep,1,0,0,0,3,0,0,0
5-Mar,4,0,0,0,1,0,0,0
5-Sep,0,0,0,0,0,0,0,0
6-Mar,3,0,0,0,2,1,0,0
6-Sep,0,0,0,0,8,0,0,0
7-Mar,2,0,0,0,2,0,0,0
7-Sep,0,0,0,0,0,0,0,0
8-Mar,1,0,0,0,2,0,0,0
8-Sep,0,0,0,0,2,0,0,0
9-Mar,0,0,0,0,2,0,0,0
9-Sep,4,0,0,0,4,0,0,0
A1BG,0,0,0,1,0,0,0,0
A1CF,10,0,0,3,2,0,1,0
A1CF_ENST00000373995,9,0,0,3,2,0,0,0
A2M,5,0,0,3,2,1,1,0
A2ML1,6,0,0,7,9,0,0,0
A4GALT,5,0,0,1,3,0,0,0
A4GNT,0,0,0,0,2,0,0,0
AAAS,1,0,0,0,4,0,0,0
AACS,3,0,0,0,2,0,0,0
AADAC,0,0,0,6,1,0,0,0
AADACL2,4,0,0,1,2,0,0,0
AADACL3,1,0,0,1,2,0,0,0
AADACL3_ENST00000359318,0,0,0,1,2,0,0,0
AADACL4,1,0,0,0,3,0,0,0
AADAT,1,0,0,0,0,0,0,0
AAGAB,0,0,0,1,1,0,0,0
AAK1,0,0,0,0,3,0,0,0
AAK1_ENST00000409085,0,0,0,0,1,0,0,0
AAMP,2,0,0,0,5,0,0,0
AARS,2,0,0,0,3,0,0,0
AARS2,9,0,0,1,3,0,0,0
AARSD1,1,0,0,0,3,0,0,0
AASDH,3,0,0,0,9,0,0,0
AASDHPPT,0,0,0,4,0,0,0,0
AASS,9,0,0,0,9,0,0,0
AATF,1,0,0,0,3,0,0,0
AATK,3,0,0,1,4,0,0,0
AB019437_1,0,0,0,0,0,0,0,0
ABAT,3,0,0,2,2,0,0,0
ABCA1,12,0,0,8,25,0,1,0
ABCA10,11,0,0,0,10,0,0,0
ABCA12,20,0,0,3,25,0,1,0
ABCA13,31,0,0,15,17,1,0,0
ABCA13_ENST00000435803,28,0,0,15,9,0,0,0
ABCA2,1,0,0,0,2,0,0,0
ABCA3,4,0,0,2,16,1,0,0
ABCA4,11,0,0,10,29,0,0,0
ABCA5,10,0,0,1,6,0,1,0
ABCA6,9,0,0,11,16,0,0,0
ABCA7,4,0,0,1,5,0,0,0
ABCA8,5,0,0,3,12,0,0,0
ABCA9,15,0,0,4,14,0,0,0
ABCB1,10,0,0,5,18,0,1,0
ABCB10,2,0,0,2,2,0,0,0
ABCB11,4,0,0,6,9,0,0,0
ABCB4,6,0,0,4,11,0,0,0
ABCB5,7,0,0,2,13,0,0,0
ABCB6,1,0,0,1,5,0,0,0
ABCB7,3,0,0,0,3,0,0,0
ABCB8,4,0,0,0,5,0,0,0
ABCB9,2,0,0,1,2,0,0,0
ABCC1,3,0,0,2,4,0,0,0
ABCC10,7,0,0,0,13,1,0,0
ABCC11,6,0,0,2,11,0,1,0
ABCC12,7,0,0,8,11,0,0,0
ABCC2,10,0,0,5,8,0,0,0
ABCC3,4,0,0,3,5,0,0,0
ABCC4,8,0,0,1,4,1,0,0
ABCC4_ENST00000376887,7,0,0,1,2,0,0,0
ABCC5,4,0,0,7,10,4,0,0
ABCC6,5,0,0,7,4,0,0,0
ABCC8,9,0,0,3,3,0,0,0
ABCC9,4,0,0,4,18,0,0,0
ABCD1,2,0,0,0,0,0,0,0
ABCD2,7,0,0,2,11,0,0,0
ABCD3,2,0,0,1,4,0,0,0
ABCD4,2,0,0,1,6,1,0,0
ABCD4_ENST00000537629,2,0,0,0,0,0,0,0
ABCE1,1,0,0,3,2,0,0,0
ABCF1,2,0,0,1,5,0,0,0
ABCF2,5,0,0,1,2,0,0,0
ABCF3,4,0,0,2,3,0,0,0
ABCG1,6,0,0,0,6,0,0,0
ABCG1_ENST00000398457,6,0,0,0,3,0,0,0
ABCG2,3,0,0,2,15,1,1,0
ABCG4,1,0,0,0,3,0,0,0
ABCG5,1,0,0,5,0,0,0,0
ABCG8,6,0,0,9,7,0,0,0
