k, sum of Distances, Cluster Dispersion, Least Dispersion
3, 2715.79719424, 1.00051977542, 7.5e-05
4, 2671.69886339, 2.00069570955, 0.000177777777778
5, 2643.55213424, 2.1118068551, 0.000347222222222
6, 2597.22971713, 4.0000826012, 0.0006
7, 2571.57737911, 3.06805916989, 0.000952777777778
8, 2519.95062158, 6.00027226498, 0.00142222222222
9, 2489.46099111, 6.02805012337, 0.002025
10, 2333.64451738, 6.00920341816, 0.00277777777778
11, 2333.49990662, 8.00094473387, 0.00369722222222
12, 2401.95245035, 9.00723541644, 0.0048
13, 2253.05409729, 7.12882800882, 0.00610277777778
14, 2253.58038342, 11.0009447866, 0.00762222222222
15, 2172.74552675, 10.0215802934, 0.009375
16, 2133.07517393, 8.15121441416, 0.0113777777778
17, 2148.55312447, 12.1155505048, 0.0136472222222
18, 2116.70989905, 12.043267298, 0.0162
19, 2080.77042378, 13.1349147632, 0.0190527777778
20, 2057.75029427, 14.184582843, 0.0222222222222
21, 2001.28776982, 15.1327240665, 0.025725
22, 1972.98789833, 15.1636996876, 0.0295777777778
23, 1967.36507481, 15.3749115518, 0.0337972222222
24, 1949.80651226, 18.1620829428, 0.0384
25, 1899.56792476, 17.2677697515, 0.0434027777778
26, 1884.33386976, 18.2413906173, 0.0488222222222
27, 1861.38813517, 20.238960275, 0.054675
28, 1814.12439293, 19.417853878, 0.0609777777778
29, 1797.24530213, 20.1730891158, 0.0677472222222
30, 1813.77791341, 23.1703477477, 0.075
31, 1757.27663921, 21.4951865622, 0.0827527777778
32, 1731.17627704, 22.4423869679, 0.0910222222222
33, 1697.89598733, 21.5863126743, 0.099825
34, 1686.14686176, 24.5663122232, 0.109177777778
35, 1650.09820935, 24.5359800265, 0.119097222222
36, 1634.43241202, 26.2055999573, 0.1296
37, 1618.56057907, 24.7619997072, 0.140702777778
38, 1611.95722194, 27.6706430396, 0.152422222222
39, 1583.13623261, 26.7040282756, 0.164775
40, 1550.10449004, 28.4850130117, 0.177777777778
41, 1541.62382547, 29.4963006216, 0.191447222222
42, 1509.92504444, 30.5665406059, 0.2058
43, 1493.64266099, 30.7687979317, 0.220852777778
44, 1482.30433207, 31.7313808272, 0.236622222222
45, 1471.0964678, 32.1734947405, 0.253125
46, 1432.08584694, 31.6904432158, 0.270377777778
47, 1424.3276668, 34.0355492781, 0.288397222222
48, 1403.97946881, 34.7257822419, 0.3072
49, 1386.1105464, 35.1905548682, 0.326802777778
50, 1373.26272048, 35.2676640136, 0.347222222222
51, 1346.34351828, 35.3148355627, 0.368475
52, 1325.35672241, 37.047816437, 0.390577777778
53, 1274.87030913, 36.9198319038, 0.413547222222
54, 1259.35900261, 37.2642619354, 0.4374
55, 1256.01622389, 39.2335922278, 0.462152777778
56, 1230.16833616, 39.0293099192, 0.487822222222
57, 1233.23587314, 39.1389053113, 0.514425
58, 1197.11712109, 41.0623790089, 0.541977777778
59, 1187.42616795, 39.7210348689, 0.570497222222
