TargetID,WGAAD-144,WGAAD-148,WGAAD-15,WGAAD-156,WGAAD-158,WGAAD-165,WGAAD-166,WGAAD-171,WGAAD-175,WGAAD-178,WGAAD-179,WGAAD-18,WGAAD-184,WGAAD-186,WGAAD-187,WGAAD-188,WGAAD-189,WGAAD-190,WGAAD-191,WGAAD-192,WGAAD-193,WGAAD-194,WGAAD-195,WGAAD-196,WGAAD-199,WGAAD-20,WGAAD-200,WGAAD-201,WGAAD-202,WGAAD-230,WGAAD-231,WGAAD-232,WGAAD-234,WGAAD-236,WGAAD-237,WGAAD-238,WGAAD-239,WGAAD-24,WGAAD-242,WGAAD-243
GI_10047091-S,4076.1,3296,4868.8,4097.8,5481.3,4790.9,1182.8,1246.5,2103.1,2741.2,3223.9,3878.1,7223.1,4705.5,3123.7,3516.9,1302.6,674.3,1357.3,2087.3,1819.8,4343.8,3429.6,4241.5,3238.7,4946.8,4331.6,2826.9,5043.1,5041.8,4287.5,3314.3,2175.1,2986.2,5867.4,4643.7,3986.6,4917.5,2750.4,2367.7
GI_10047093-S,73.9,83.6,68.9,78,83.5,69.9,80.2,65.5,82.3,70,111.5,85.6,134,123.9,52.7,64,89.5,NaN,79.9,87.5,NaN,104.3,59.1,105.7,87.7,75.5,70.5,87.9,89.2,98.9,108.7,88,98.4,77.4,105.7,99.7,94.3,84.1,80.6,71.5
GI_10047103-S,1088,1091.5,1462.5,1414.7,1250.5,1114.4,955,1035.7,1226.2,1274.9,1120.9,1254.5,961,986.7,1134.5,1182.2,1357.9,1323.9,1006.2,1097.6,1305.3,1043.8,1127.3,1626.5,1120.2,1245.5,1108.2,963.7,1063.1,892.5,1029.4,1089.8,1011.8,1244.9,1105.1,1307.9,1166.7,1373.1,983.9,1469.6
GI_10047133-A,116.5,142.1,119.8,83.6,118.5,113.3,74.1,61.8,36.1,66.7,108.2,109.7,137.2,130.7,58.4,94.3,NaN,NaN,51.7,64,NaN,89.3,75.6,51.7,109.6,98.7,88.3,73.8,100.3,105.7,83.8,99.9,144.6,55.9,97.8,87.5,110,133.5,64.1,67.8
GI_10092596-S,263.3,196.7,253.6,214.3,109.5,209.6,170.2,176.9,159.7,223.5,177.2,234.1,312,185.8,198,265.7,178.2,227.8,137.3,192.9,147.1,200.6,205.2,182,139,238.1,233,217.6,183.2,225.4,161.7,183.3,163.1,220.7,202.4,239.6,203.4,201.6,150.7,207.4
GI_10092600-S,339.9,819.3,534.6,545.6,468.8,509.7,600.1,528.1,785.5,473.4,448.8,580.7,1351.4,550.4,564.6,800.4,627.8,452.9,638,635,492.6,508.7,593.2,576,510.2,513.3,549.1,463.8,560.6,384,495.2,726.4,898.1,977,682.8,839.3,723.5,509.2,530.7,963.2
GI_10092616-S,171.9,220.3,183.4,121.2,82.7,169.5,145.9,133.6,157.1,138,187.1,153.6,170.6,152.4,122.4,206.8,144.5,160.8,219,226.7,212.8,193.1,120.5,189.7,237.6,159,170.3,124.7,143.8,121.4,89.7,93.4,165.1,145.3,56.5,100.1,120,126.9,144.5,110
GI_10092618-S,1311.3,1264.9,1666.5,1122.8,728.9,868.5,1437,1153.4,1100.7,1435.6,748.6,1274.6,396.3,836.9,1228.8,1774.7,1518.6,1905.3,1361.2,1774.1,1418.6,622.4,916.4,698,745.9,942.9,1203.9,1408.1,1043.5,883.5,1053.1,1666.4,1041,1544.1,1150.8,1095.6,986.5,986.7,1861.6,1566.1
GI_10092672-S,315.4,181.9,229,225.2,400.3,227,138.9,156,151,162.2,175.6,190.8,178.4,271.4,167.6,180.1,188.7,252.7,122.4,170.7,172.3,183.7,186.4,205.2,179,158.8,192.6,171.5,214.2,232.3,223.1,184.2,172.5,201.5,268.6,268.1,207.1,234.9,154.7,183
GI_10190705-S,139.4,169.7,139.3,97.4,129.2,121.8,203.6,136.2,170.3,164.1,159.9,150.7,164.8,156.8,117.4,189.8,259.6,111.7,151.5,176,136,144.1,150.6,115.8,137.5,131.3,167.4,188.1,103,115.8,193.5,206.7,220.7,199.1,161.1,174,168.1,121.7,228.5,193.5
