ERR000019.filt.fastq.gz,280 MB,9/18/2009 0:00
ERR000021.filt.fastq.gz,319 MB,9/19/2009 0:00
ERR000022.filt.fastq.gz,254 MB,9/18/2009 0:00
ERR000023.filt.fastq.gz,368 MB,9/18/2009 0:00
ERR000024.filt.fastq.gz,272 MB,9/19/2009 0:00
ERR000028.filt.fastq.gz,462 MB,9/18/2009 0:00
ERR000030.filt.fastq.gz,12.2 MB,9/22/2009 0:00
ERR000030_1.filt.fastq.gz,351 MB,9/22/2009 0:00
ERR000030_2.filt.fastq.gz,372 MB,9/22/2009 0:00
ERR000031.filt.fastq.gz,421 MB,9/19/2009 0:00
ERR000033.filt.fastq.gz,246 MB,9/18/2009 0:00
ERR000035.filt.fastq.gz,453 MB,9/19/2009 0:00
ERR000036.filt.fastq.gz,316 MB,9/18/2009 0:00
ERR000037.filt.fastq.gz,371 MB,9/18/2009 0:00
ERR000038.filt.fastq.gz,322 MB,9/18/2009 0:00
ERR000039.filt.fastq.gz,288 MB,9/18/2009 0:00
ERR000040.filt.fastq.gz,256 MB,9/19/2009 0:00
ERR000041.filt.fastq.gz,457 MB,9/19/2009 0:00
ERR000042.filt.fastq.gz,440 MB,9/19/2009 0:00
ERR000296.filt.fastq.gz,59.0 MB,9/23/2009 0:00
ERR000296_1.filt.fastq.gz,215 MB,9/23/2009 0:00
ERR000296_2.filt.fastq.gz,235 MB,9/23/2009 0:00
ERR000312.filt.fastq.gz,20.8 MB,9/22/2009 0:00
ERR000312_1.filt.fastq.gz,569 MB,9/22/2009 0:00
ERR000312_2.filt.fastq.gz,597 MB,9/22/2009 0:00
ERR000343.filt.fastq.gz,182 MB,9/23/2009 0:00
ERR000343_1.filt.fastq.gz,441 MB,9/23/2009 0:00
ERR000343_2.filt.fastq.gz,447 MB,9/23/2009 0:00
ERR001927.filt.fastq.gz,84.3 MB,9/19/2009 0:00
ERR001928.filt.fastq.gz,86.0 MB,9/18/2009 0:00
ERR001933.filt.fastq.gz,492 MB,9/18/2009 0:00
ERR001934.filt.fastq.gz,501 MB,9/19/2009 0:00
ERR001938.filt.fastq.gz,138 MB,9/18/2009 0:00
ERR001939.filt.fastq.gz,101 MB,9/18/2009 0:00
ERR001940.filt.fastq.gz,320 MB,9/19/2009 0:00
ERR001947.filt.fastq.gz,472 MB,9/18/2009 0:00
ERR001948.filt.fastq.gz,467 MB,9/18/2009 0:00
ERR001949.filt.fastq.gz,454 MB,9/19/2009 0:00
ERR001966.filt.fastq.gz,366 MB,
