gene	chr	start	end	exon_id	coding
APP	chr21	27369675	27369731	18	TRUE
APP	chr21	27252861	27254082	17	TRUE
APP	chr21	27264034	27264180	16	TRUE
APP	chr21	27269885	27269985	15	TRUE
APP	chr21	27277336	27277389	14	TRUE
APP	chr21	27284053	27284274	13	TRUE
APP	chr21	27326904	27327003	12	TRUE
APP	chr21	27327941	27328069	11	TRUE
APP	chr21	27347383	27347541	10	TRUE
APP	chr21	27348267	27348341	9	TRUE
APP	chr21	27354657	27354790	8	TRUE
APP	chr21	27372330	27372497	7	TRUE
APP	chr21	27394156	27394358	6	TRUE
APP	chr21	27423316	27423509	5	TRUE
APP	chr21	27425552	27425664	4	TRUE
APP	chr21	27462259	27462388	3	TRUE
APP	chr21	27484296	27484463	2	TRUE
APP	chr21	27542882	27543138	1	TRUE
PSEN1	chr14	73603143	73603291	1	FALSE
PSEN1	chr14	73614503	73614584	2	FALSE
PSEN1	chr14	73614675	73614802	3	TRUE
PSEN1	chr14	73637505	73637755	4	TRUE
PSEN1	chr14	73640274	73640415	5	TRUE
PSEN1	chr14	73653561	73653628	6	TRUE
PSEN1	chr14	73659352	73659572	7	TRUE
PSEN1	chr14	73664739	73664837	8	TRUE
PSEN1	chr14	73673094	73673180	9	TRUE
PSEN1	chr14	73678477	73678650	10	TRUE
PSEN1	chr14	73683834	73683952	11	TRUE
PSEN1	chr14	73685842	73690399	12	TRUE
PSEN2	chr1	227058273	227058350	1	FALSE
PSEN2	chr1	227058963	227059105	2	FALSE
PSEN2	chr1	227063066	227063251	3	FALSE
PSEN2	chr1	227069589	227069749	4	TRUE
PSEN2	chr1	227071406	227071620	5	TRUE
PSEN2	chr1	227073239	227073380	6	TRUE
PSEN2	chr1	227075792	227075859	7	TRUE
PSEN2	chr1	227076530	227076750	8	TRUE
PSEN2	chr1	227077736	227077834	9	TRUE
PSEN2	chr1	227078979	227079062	10	TRUE
PSEN2	chr1	227079447	227079545	11	TRUE
PSEN2	chr1	227081708	227081826	12	TRUE
PSEN2	chr1	227083125	227083804	13	TRUE
APOE	chr19	45409039	45409098	1	FALSE
APOE	chr19	45409859	45409924	2	TRUE
APOE	chr19	45411017	45411209	3	TRUE
APOE	chr19	45411790	45412650	4	TRUE
